id,task_id,user_id,language,status,score,submitted_at,evaluated_at
1,13,2,python,error,0,2025-04-04 21:06:59.795302,2025-04-04 21:07:01.025564
2,13,4,javascript,error,0,2025-04-04 21:18:45.711721,2025-04-04 21:18:46.308904
19,12,4,python,needs_improvement,27,2025-05-23 01:58:04.877067,2025-05-23 01:58:09.411756
5,12,4,cpp,error,0,2025-04-04 22:03:36.604875,2025-04-04 22:03:36.895459
6,13,2,java,partial,65,2025-04-04 23:06:28.23469,2025-04-04 23:06:31.132736
7,13,2,cpp,partial,50,2025-04-05 00:58:31.453499,2025-04-05 00:58:33.053525
9,6,2,python,needs_improvement,1,2025-04-07 20:56:30.626518,2025-04-07 20:56:37.726601
14,6,4,java,needs_improvement,10,2025-04-07 21:48:22.335125,2025-04-07 21:48:26.705212
16,18,4,python,needs_improvement,20,2025-04-16 04:11:42.440891,2025-04-16 04:11:53.936243
17,18,4,python,needs_improvement,3,2025-04-17 17:23:37.327689,2025-04-17 17:23:41.766962
10,6,2,cpp,needs_improvement,1,2025-04-07 21:05:17.71073,2025-04-07 21:05:26.750829
11,6,2,python,needs_improvement,1,2025-04-07 21:07:32.922682,2025-04-07 21:07:36.93115
12,6,2,python,needs_improvement,1,2025-04-07 21:38:17.990637,2025-04-07 21:38:22.589473
13,6,2,python,needs_improvement,1,2025-04-07 21:41:38.547649,2025-04-07 21:41:45.687782
15,12,4,python,completed,100,2025-04-07 21:50:16.609868,2025-04-07 21:50:19.257162
